Episode 177: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 178: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 179: Total Reward = -31, Score = 0, Epsilon = 0.010
Episode 180: Total Reward = -26, Score = 0, Epsilon = 0.010
Episode 181: Total Reward = -37, Score = 0, Epsilon = 0.010
Episode 182: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 183: Total Reward = 140, Score = 26, Epsilon = 0.010
Episode 184: Total Reward = 54, Score = 13, Epsilon = 0.010
Episode 185: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 186: Total Reward = 60, Score = 13, Epsilon = 0.010
Episode 187: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 188: Total Reward = 282, Score = 52, Epsilon = 0.010
Episode 189: Total Reward = 59, Score = 13, Epsilon = 0.010
Episode 190: Total Reward = 318, Score = 52, Epsilon = 0.010
Episode 191: Total Reward = 51, Score = 13, Epsilon = 0.010
Episode 192: Total Reward = 51, Score = 13, Epsilon = 0.010
Episode 193: Total Reward = 1208, Score = 182, Epsilon = 0.010
Episode 194: Total Reward = 318, Score = 52, Epsilon = 0.010
Episode 195: Total Reward = 51, Score = 13, Epsilon = 0.010
Episode 196: Total Reward = 140, Score = 26, Epsilon = 0.010
Episode 197: Total Reward = 58, Score = 13, Epsilon = 0.010
Episode 198: Total Reward = 140, Score = 26, Epsilon = 0.010
Episode 199: Total Reward = 58, Score = 13, Epsilon = 0.010
Episode 200: Total Reward = 229, Score = 39, Epsilon = 0.010
Episode 201: Total Reward = 318, Score = 52, Epsilon = 0.010
Episode 202: Total Reward = 51, Score = 13, Epsilon = 0.010
Episode 203: Total Reward = 51, Score = 13, Epsilon = 0.010
Episode 204: Total Reward = 51, Score = 13, Epsilon = 0.010
Episode 205: Total Reward = -34, Score = 0, Epsilon = 0.010
Episode 206: Total Reward = 51, Score = 13, Epsilon = 0.010
Episode 207: Total Reward = -30, Score = 0, Epsilon = 0.010
Episode 208: Total Reward = 407, Score = 65, Epsilon = 0.010
Episode 209: Total Reward = 51, Score = 13, Epsilon = 0.010
Episode 210: Total Reward = -26, Score = 0, Epsilon = 0.010
Episode 211: Total Reward = -36, Score = 0, Epsilon = 0.010
Episode 212: Total Reward = 152, Score = 26, Epsilon = 0.010
Episode 213: Total Reward = 1030, Score = 156, Epsilon = 0.010
Episode 214: Total Reward = 412, Score = 65, Epsilon = 0.010
Episode 215: Total Reward = -31, Score = 0, Epsilon = 0.010
Episode 216: Total Reward = 417, Score = 65, Epsilon = 0.010
